Wall time,Step,Value
1727527768.821,40000,0.0
1727527836.9676309,80000,0.0
1727527904.282456,120000,0.19374999403953552
1727527972.646175,160000,0.7768750190734863
1727528039.1558647,200000,0.7743750214576721
1727528106.407309,240000,0.9749999642372131
